app.js 33ms (unchanged)
CHANGELOG.md 722ms (unchanged)
commitlint.config.js 17ms (unchanged)
loader.js 29ms (unchanged)
nodebb 6ms (unchanged)
README.md 15ms (unchanged)
renovate.json 1ms (unchanged)
require-main.js 1ms (unchanged)
src/admin/search.js 8ms (unchanged)
src/admin/versions.js 7ms (unchanged)
src/als.js 1ms (unchanged)
src/analytics.js 15ms (unchanged)
src/api/admin.js 3ms (unchanged)
src/api/categories.js 11ms (unchanged)
src/api/chats.js 15ms (unchanged)
src/api/files.js 1ms (unchanged)
src/api/flags.js 3ms (unchanged)
src/api/groups.js 10ms (unchanged)
src/api/helpers.js 4ms (unchanged)
src/api/index.js 0ms (unchanged)
src/api/posts.js 20ms (unchanged)
src/api/search.js 7ms (unchanged)
src/api/tags.js 0ms (unchanged)
src/api/topics.js 9ms (unchanged)
src/api/users.js 30ms (unchanged)
src/api/utils.js 8ms (unchanged)
src/batch.js 3ms (unchanged)
src/cache.js 0ms (unchanged)
src/cache/lru.js 4ms (unchanged)
src/cache/ttl.js 2ms (unchanged)
src/cacheCreate.js 0ms (unchanged)
src/categories/activeusers.js 0ms (unchanged)
src/categories/create.js 7ms (unchanged)
src/categories/data.js 3ms (unchanged)
src/categories/delete.js 3ms (unchanged)
src/categories/index.js 13ms (unchanged)
src/categories/recentreplies.js 6ms (unchanged)
src/categories/search.js 4ms (unchanged)
src/categories/topics.js 14ms (unchanged)
src/categories/unread.js 1ms (unchanged)
src/categories/update.js 5ms (unchanged)
src/categories/watch.js 2ms (unchanged)
src/cli/colors.js 13ms (unchanged)
src/cli/index.js 12ms (unchanged)
src/cli/manage.js 5ms (unchanged)
src/cli/package-install.js 6ms (unchanged)
src/cli/reset.js 3ms (unchanged)
src/cli/running.js 3ms (unchanged)
src/cli/setup.js 1ms (unchanged)
src/cli/upgrade-plugins.js 5ms (unchanged)
src/cli/upgrade.js 3ms (unchanged)
src/cli/user.js 8ms (unchanged)
src/constants.js 1ms (unchanged)
src/controllers/404.js 2ms (unchanged)
src/controllers/accounts.js 1ms (unchanged)
src/controllers/accounts/blocks.js 1ms (unchanged)
src/controllers/accounts/categories.js 2ms (unchanged)
src/controllers/accounts/chats.js 4ms (unchanged)
src/controllers/accounts/consent.js 1ms (unchanged)
src/controllers/accounts/edit.js 4ms (unchanged)
src/controllers/accounts/follow.js 1ms (unchanged)
src/controllers/accounts/groups.js 1ms (unchanged)
src/controllers/accounts/helpers.js 10ms (unchanged)
src/controllers/accounts/info.js 2ms (unchanged)
src/controllers/accounts/notifications.js 2ms (unchanged)
src/controllers/accounts/posts.js 7ms (unchanged)
src/controllers/accounts/profile.js 3ms (unchanged)
src/controllers/accounts/sessions.js 1ms (unchanged)
src/controllers/accounts/settings.js 5ms (unchanged)
src/controllers/accounts/tags.js 1ms (unchanged)
src/controllers/accounts/uploads.js 2ms (unchanged)
src/controllers/admin.js 1ms (unchanged)
src/controllers/admin/admins-mods.js 2ms (unchanged)
src/controllers/admin/appearance.js 0ms (unchanged)
src/controllers/admin/cache.js 1ms (unchanged)
src/controllers/admin/categories.js 4ms (unchanged)
src/controllers/admin/dashboard.js 11ms (unchanged)
src/controllers/admin/database.js 1ms (unchanged)
src/controllers/admin/digest.js 1ms (unchanged)
src/controllers/admin/errors.js 1ms (unchanged)
src/controllers/admin/events.js 2ms (unchanged)
src/controllers/admin/groups.js 2ms (unchanged)
src/controllers/admin/hooks.js 1ms (unchanged)
src/controllers/admin/info.js 3ms (unchanged)
src/controllers/admin/logger.js 1ms (unchanged)
src/controllers/admin/logs.js 1ms (unchanged)
src/controllers/admin/plugins.js 2ms (unchanged)
src/controllers/admin/privileges.js 1ms (unchanged)
src/controllers/admin/rewards.js 0ms (unchanged)
src/controllers/admin/settings.js 3ms (unchanged)
src/controllers/admin/tags.js 1ms (unchanged)
src/controllers/admin/themes.js 0ms (unchanged)
src/controllers/admin/uploads.js 6ms (unchanged)
src/controllers/admin/users.js 6ms (unchanged)
src/controllers/admin/widgets.js 0ms (unchanged)
src/controllers/api.js 4ms (unchanged)
src/controllers/authentication.js 13ms (unchanged)
src/controllers/categories.js 2ms (unchanged)
src/controllers/category.js 6ms (unchanged)
src/controllers/composer.js 2ms (unchanged)
src/controllers/errors.js 3ms (unchanged)
src/controllers/globalmods.js 1ms (unchanged)
src/controllers/groups.js 3ms (unchanged)
src/controllers/helpers.js 13ms (unchanged)
src/controllers/home.js 2ms (unchanged)
src/controllers/index.js 8ms (unchanged)
src/controllers/mods.js 7ms (unchanged)
src/controllers/osd.js 1ms (unchanged)
src/controllers/ping.js 1ms (unchanged)
src/controllers/popular.js 1ms (unchanged)
src/controllers/posts.js 1ms (unchanged)
src/controllers/recent.js 2ms (unchanged)
src/controllers/search.js 5ms (unchanged)
src/controllers/sitemap.js 2ms (unchanged)
src/controllers/tags.js 3ms (unchanged)
src/controllers/top.js 1ms (unchanged)
src/controllers/topics.js 8ms (unchanged)
src/controllers/unread.js 2ms (unchanged)
src/controllers/uploads.js 4ms (unchanged)
src/controllers/user.js 2ms (unchanged)
src/controllers/users.js 4ms (unchanged)
src/controllers/write/admin.js 2ms (unchanged)
src/controllers/write/categories.js 3ms (unchanged)
src/controllers/write/chats.js 5ms (unchanged)
src/controllers/write/files.js 0ms (unchanged)
src/controllers/write/flags.js 1ms (unchanged)
src/controllers/write/groups.js 2ms (unchanged)
src/controllers/write/index.js 1ms (unchanged)
src/controllers/write/posts.js 4ms (unchanged)
src/controllers/write/search.js 2ms (unchanged)
src/controllers/write/tags.js 1ms (unchanged)
src/controllers/write/topics.js 5ms (unchanged)
src/controllers/write/users.js 4ms (unchanged)
src/controllers/write/utilities.js 1ms (unchanged)
src/coverPhoto.js 1ms (unchanged)
src/database/cache.js 0ms (unchanged)
src/database/helpers.js 1ms (unchanged)
src/database/index.js 1ms (unchanged)
src/database/mongo.js 6ms (unchanged)
src/database/mongo/connection.js 1ms (unchanged)
src/database/mongo/hash.js 6ms (unchanged)
src/database/mongo/helpers.js 2ms (unchanged)
src/database/mongo/list.js 1ms (unchanged)
src/database/mongo/main.js 4ms (unchanged)
src/database/mongo/sets.js 4ms (unchanged)
src/database/mongo/sorted.js 13ms (unchanged)
src/database/mongo/sorted/add.js 3ms (unchanged)
src/database/mongo/sorted/intersect.js 6ms (unchanged)
src/database/mongo/sorted/remove.js 1ms (unchanged)
src/database/mongo/sorted/union.js 1ms (unchanged)
src/database/mongo/transaction.js 0ms (unchanged)
src/database/postgres.js 4ms (unchanged)
src/database/postgres/connection.js 1ms (unchanged)
src/database/postgres/hash.js 5ms (unchanged)
src/database/postgres/helpers.js 1ms (unchanged)
src/database/postgres/list.js 2ms (unchanged)
src/database/postgres/main.js 5ms (unchanged)
src/database/postgres/sets.js 3ms (unchanged)
src/database/postgres/sorted.js 13ms (unchanged)
src/database/postgres/sorted/add.js 2ms (unchanged)
src/database/postgres/sorted/intersect.js 2ms (unchanged)
src/database/postgres/sorted/remove.js 2ms (unchanged)
src/database/postgres/sorted/union.js 1ms (unchanged)
src/database/postgres/transaction.js 1ms (unchanged)
src/database/redis.js 2ms (unchanged)
src/database/redis/connection.js 2ms (unchanged)
src/database/redis/hash.js 5ms (unchanged)
src/database/redis/helpers.js 1ms (unchanged)
src/database/redis/list.js 1ms (unchanged)
src/database/redis/main.js 2ms (unchanged)
src/database/redis/pubsub.js 1ms (unchanged)
src/database/redis/sets.js 2ms (unchanged)
src/database/redis/sorted.js 7ms (unchanged)
src/database/redis/sorted/add.js 2ms (unchanged)
src/database/redis/sorted/intersect.js 2ms (unchanged)
